threshold,tp,fp,tn,fn,flagged,precision,recall,fpr,intervention_rate,loss_avoided,fp_cost,net_value
0.162,383,1123,84375,2700,1506,0.2543160690571049,0.12422964644826467,0.013134810170998152,0.017001388559623395,39944.1936,22460.0,17484.1936
0.163,383,1122,84376,2700,1505,0.25448504983388703,0.12422964644826467,0.01312311399097055,0.016990099456994163,39944.1936,22440.0,17504.1936
0.164,383,1122,84376,2700,1505,0.25448504983388703,0.12422964644826467,0.01312311399097055,0.016990099456994163,39944.1936,22440.0,17504.1936
0.165,383,1122,84376,2700,1505,0.25448504983388703,0.12422964644826467,0.01312311399097055,0.016990099456994163,39944.1936,22440.0,17504.1936
0.166,383,1121,84377,2700,1504,0.2546542553191489,0.12422964644826467,0.013111417810942947,0.01697881035436493,39944.1936,22420.0,17524.1936
0.167,375,1083,84415,2708,1458,0.257201646090535,0.1216347713266299,0.012666962969894032,0.01645951163342026,39299.0024,21660.0,17639.002399999998
0.168,375,1082,84416,2708,1457,0.2573781743308167,0.1216347713266299,0.01265526678986643,0.016448222530791028,39299.0024,21640.0,17659.002399999998
0.169,375,1080,84418,2708,1455,0.25773195876288657,0.1216347713266299,0.012631874429811224,0.016425644325532562,39299.0024,21600.0,17699.002399999998
0.17,269,640,84858,2814,909,0.29592959295929594,0.08725267596496919,0.00748555521766591,0.01026179428997189,29785.456800000004,12800.0,16985.456800000004
0.171,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.17200000000000001,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.17300000000000001,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.17400000000000002,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.17500000000000002,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.176,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.177,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.178,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.179,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.18,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.181,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
0.182,238,531,84967,2845,769,0.3094928478543563,0.07719753486863444,0.006210671594657185,0.00868131992187941,26458.5864,10620.0,15838.5864
